"Coauthor","Paper","Journal","AuthorID","PaperID"
"InKyuPark;SangWookLee","Shape-Adaptive -D Mesh Simplification Based on Local Optimality Measurement ","Pacific Conference Computer Graphics and Applications","10","1"
"Dong-GyuSim;Ihn-CheolKim;Rae-HongPark;Rin-ChulKim","Integrated Position Estimation Using Aerial Image Sequences ","IEEE Transactions Pattern Analysis and Machine Intelligence","10","2"
"InKyuPark;KyoungMuLee","Models and algorithms for efficient multiresolution topology estimation of measured -D range data ","IEEE Transactions Systems Man and Cybernetics Part B","10","3"
"IlDongYun;InKyuPark","A Color Normalization Algorithm for Image Indexing ","ACCV Asian Conference Computer Vision","10","4"
"Chang-SuKim;SeungHwanKim","Efficient Motion Compensation Algorithm Based on Second-Order Prediction ","ICIP International Conference Image Processing","10","5"
"Chang-SuKim;Rin-ChulKim","Robust Transmission of Video Over Noisy Channel Using Parity Motion Vector ","ICIP International Conference Image Processing","10","6"
"Dong-GyuSim;Ihn-CheolKim;Rae-HongPark;Rin-ChulKim","Integrated Position Estimation Using Aerial Image Sequences ","IEEE Transactions Pattern Analysis and Machine Intelligence","10","7"
"ByeongHwanJeon;KyungMuLee","Rotation Invariant Face Detection using a Model-Based Clustering Algorithm ","IEEE International Conference Multimedia and Expo II","10","8"
"ChoonSooPark;JongchulYe","Lost Motion Vector Recovery Algorithm ","ISCAS IEEE International Symposium Circuits and Systems","10","9"
"YongKwanKim"," -D Subband Video Coding Technique Using Adaptive Wavelet Packet Bases ","ISCAS IEEE International Symposium Circuits and Systems","10","10"
"KihoKim;NamIkCho","Design of FIR filter over a discrete coefficient space with applications to HDTV signal processing ","ISCAS IEEE International Symposium Circuits and Systems","10","11"
"NamIkCho;YoonGiYang","On the performance analysis of the subband adaptive digital filter ","ISCAS IEEE International Symposium Circuits and Systems","10","12"
"InKyuPark;KyoungMuLee","Perceptual Grouping of -D Features in Aerial Image Using Decision Tree Classifier ","ICIP International Conference Image Processing","10","13"
"InKyuPark","Geometric Modeling from Scattered -D Range Data ","ICIP International Conference Image Processing","10","14"
"JaSeongKu;KyoungMuLee","Multi-Image Matching for a General Motion Stereo Camera Model ","ICIP International Conference Image Processing","10","15"
"EunjinJung;IlDongYun","Recovery of -D Shape using Hybrid Reflectance Model ","ICIP International Conference Image Processing","10","16"
"HeeSooYang","Split-and-Merge Segmentation Employing Thresholding Technique ","ICIP International Conference Image Processing","10","17"
"Chang-SuKim;Rin-ChulKim","Robust Transmission of Video Over Noisy Channel Using Parity Motion Vector ","ICIP International Conference Image Processing","10","18"
"IlDongYun;JeongHeeKim","Unsupervised Segmentation of Textured Image using Markov Random Field in Random Spatial Interaction ","ICIP International Conference Image Processing","10","19"
"IlDongYun;InseoHan","Model-Based Object Recognition Using the Hausdorff Distance with Explicit Pairing ","ICIP International Conference Image Processing","10","20"
"InKyuPark;KyoungMuLee","Recognition and Reconstruction of -D Objects Using Model-Based Perceptual Grouping ","ICPR International Conference Pattern Recognition","10","21"
"TokWangLing","Improving Integrity Constraint Checking for Stratified Deductive Databases ","DEXA Database and Expert Systems Applications","11","22"
"TokWangLing","Refined Termination Decision in Active Databases ","DEXA Database and Expert Systems Applications","11","23"
"TokWangLing","Verify Updating Trigger Correctness ","DEXA Database and Expert Systems Applications","11","24"
"Hua-GangLi;TokWangLing","Range-Max/Min Query in OLAP Data Cube ","DEXA Database and Expert Systems Applications","11","25"
"GillianDobbie;LeonidAKalinichenko;Mong-LiLee;TokWangLing","Designing Semistructured Databases: A Conceptual Approach ","DEXA Database and Expert Systems Applications","11","26"
"BinCui;Chuan-HengAng;TokWangLing;ZhongWeiLuo","Range Top/Bottom k Queries in OLAP Sparse Data Cubes ","DEXA Database and Expert Systems Applications","11","27"
"Chuan-HengAng;TokWangLing;ZhengXuanLoh","Adaptive Method for Range Top- k Queries in OLAP Data Cubes ","DEXA Database and Expert Systems Applications","11","28"
"Mong-LiLee;TokWangLing","Updatability in Federated Database Systems ","DEXA Database and Expert Systems Applications","11","29"
"BoonTunWee;TokWangLing","DO : Deductive Object-Oriented Database System ","DEXA Database and Expert Systems Applications","11","30"
"Hua-GangLi;TokWangLing;WaiChongLow;ZhongWeiLuo","Variable Sized Partitions for Range Query Algorithms ","DEXA Database and Expert Systems Applications","11","31"
"TokWangLing","Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases ","VLDB Very Large Data Bases","11","32"
"TokWangLing","Unrolling Cycles to Decide Trigger Termination ","VLDB Very Large Data Bases","11","33"
"Hua-GangLi;TokWangLing","Hierarchical Compact Cube for Range-Max Queries ","VLDB Very Large Data Bases","11","34"
"Hua-GangLi;TokWangLing;ZhengXuanLoh","Range Sum Queries in Dynamic OLAP Data Cubes ","CODAS The Second International Symposium Cooperative Database Systems for Advanced Applications","11","35"
"TokWangLing","Are Your Trigger Rules Correct?","DEXA Database and Expert Systems Applications Workshop","11","36"
"TokWangLing","Improving Integrity Checking for Exists-Constraints ","DASFAA Database Systems for Advanced Applications","11","37"
